Location,,ContainerID,Alms,LoadPort,Disch.Port,,,,,Monitored,Temp SP,Supply,,Return
260308,,CGMU5394580,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,5",,"12,2"
260110,,CGMU5395462,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,2",,"12,3"
260104,,CGMU5423841,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"11,71",,"12,21"
260206,,CGMU5425490,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,56",,"12,19"
260204,,CGMU5480965,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,55",,"12,2"
260306,,CGMU5484810,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,48",,"12,13"
260106,,CGMU5485313,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"12,42",,"12,15"
260208,,CGMU5505195,0,ITLIV,COCTG/ITLIV/COCTG,,,,,Checked,12,"13,02",,"12,59"
180884,,CGMU9344972,0,ITLIV,DOCAU/ITLIV/DOCAU,,,,,Unchecked,,,,
180682,,CRSU6098879,0,ITLIV,DOCAU/ITLIV/DOCAU,,,,,Unchecked,,,,
220506,,TEMU9268319,0,ITLIV,ESVLC/ITLIV/ESVLC,,,,,Unchecked,,,,
