Location,,ContainerID,Alms,LoadPort,,Disch.Port,,,,Monitored,Temp SP,Supply,,Return
380106,,TRIU8121151,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,,,,
380112,,TLLU1050419,0,ESBCN,,COCTG/COCTG,,,,Unchecked,,,,
380110,,AMCU9290557,0,ESBCN,,COCTG/CLSAI,,,,Unchecked,,,,
380108,,TRLU1705610,0,ESBCN,,COCTG/COBUN,,,,Unchecked,,,,
141284,,CGMU9308471,0,ESBCN,,JMKIN/JMMBJ,,,,Unchecked,,,,
380308,,CGMU4961586,0,ESBCN,,COCTG/ECGYE,,,,Unchecked,,,,
540682,,APRU5711029,0,ESBCN,,COCTG/PAMIT,,,,Unchecked,,,,
101182,,BMOU9878730,0,FRMRS,,MQFDF/MQFDF,,,,Unchecked,,,,
380582,,TRIU8163218,0,FRMRS,,COCTG/COCTG,,,,Unchecked,,,,
460504,,TCLU1068359,0,FRMRS,,PAMIT/PAMIT,,,,Unchecked,,,,
,,TCLU1283454,0,,,,,,,Checked,-18,"-193,125",,-18
,,CGMU9400680,0,,,,,,,Checked,16,"15,99",,"16,73"
,,CGMU5363980,0,,,,,,,Checked,0,"0,62",,"1,04"
,,CGMU5028359,0,,,,,,,Checked,-18,"-18,94",,"-18,25"
,,CGMU5430590,0,,,,,,,Checked,,,,
,,TRLU1730042,0,,,,,,,Checked,-18,"-16,5",,"-17,1"
